condition,currency,category,year,make,model,location,s/n,reg,total_hours,national_origin,standard_price,hour,price,country
Used,USD,Single Engine Piston,2011,CIRRUS,SR20-G3,"Farmingdale (KFRG),
	                           NY
	                           USA",2081,N187PH,1740.0,United States,294900.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2011,CUBCRAFTERS,CC11-160 CARBON CUB SS,"Louisburg,
	                           NC
	                           USA",CC11-00168,N160TJ,175.0,United States,184900.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2015,CIRRUS,SR22-G5 TURBO,"Knoxville,
	                           TN
	                           USA",1119,N619MT,738.0,United States,609000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2016,BEECHCRAFT,G36 BONANZA,"Greensboro,
	                           NC
	                           USA",E-4100,N71RW,175.0,United States,699000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2016,BEECHCRAFT,G36 BONANZA,"Indianapolis,
	                           IN
	                           USA",Not Listed,N686AG,250.0,United States,749000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2016,CIRRUS,SR22T-G5 GTS,"Las Vegas,
	                           NV
	                           USA",1301,N702EC,996.0,United States,650000.0,upto 1000 hours,upto 1000000 hours,USA
New,USD,Private Jets,2016,VIPER AIRCRAFT,VIPERJET MK II,"Chehalis,
	                           WA
	                           USA",8,N886AK,50.0,United States,595000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2017,CESSNA,172S SKYHAWK SP,"Kapolei,
	                           HI
	                           USA",172S12058,N424PE,1118.0,United States,420000.0,upto 2000 hours,upto 500000 hours,USA
New,USD,Turbine Helicopters,2017,ROBINSON HELICOPTER,R66,"Laughlin,
	                           NV
	                           USA",767,N531DL,50.0,United States,1280000.0,upto 1000 hours,upto 2000000,USA
New,USD,Single Engine Piston,2018,AVIAT,HUSKY A-1C,"Boise,
	                           ID
	                           USA",3304,N304WY,230.0,United States,279900.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2018,BRM AERO,BRISTELL,"Salt Lake City,
	                           UT
	                           USA",379,N233PM,38.0,Czech Republic,185000.0,upto 1000 hours,upto 250000,Other
Used,USD,Single Engine Piston,2018,CIRRUS,SR22T-G6 GTS,"Plentywood,
	                           MT
	                           USA",1811,N11P,100.0,United States,889000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2018,CUBCRAFTERS,CARBON CUB FX3,"Mesa,
	                           AZ
	                           USA",CCX-2000-0009,N19FX,395.0,United States,304900.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1980,CESSNA,172N SKYHAWK,"New Orleans,
	                           LA
	                           USA",172297,N390DV,1871.0,United States,80000.0,upto 2000 hours,upto 100000,USA
